# a, rho_de(8piGrho), cdm_code(8piGrho_a4), cdm_analytic
5.983321728796288375e-02,9.549976513761532143e-08,2.458193779189176938e-09,2.458193779189176938e-09
6.052779976193348871e-02,9.553283798121100318e-08,2.486729637500875407e-09,2.486729637500875407e-09
6.123044539605183856e-02,9.556592227837392896e-08,2.515596737637940507e-09,2.515596737637940507e-09
6.194124779266756836e-02,9.559901803307066142e-08,2.544798923879479025e-09,2.544798923879479025e-09
6.266030164072655673e-02,9.563212524926908669e-08,2.574340085084368587e-09,2.574340085084368587e-09
6.338770272838487041e-02,9.566524393093845411e-08,2.604224155206527487e-09,2.604224155206527487e-09
6.412354795576917510e-02,9.569837408204941590e-08,2.634455113816062049e-09,2.634455113816062462e-09
6.486793534788511117e-02,9.573151570657400072e-08,2.665036986626343627e-09,2.665036986626343627e-09
6.562096406767560508e-02,9.576466880848557396e-08,2.695973846027090534e-09,2.695973846027090534e-09
6.638273442923081635e-02,9.579783339175895682e-08,2.727269811623518570e-09,2.727269811623518570e-09
6.715334791115142032e-02,9.583100946037026755e-08,2.758929050781620964e-09,2.758929050781620964e-09
6.793290717006698898e-02,9.586419701829706700e-08,2.790955779179641421e-09,2.790955779179641421e-09
6.872151605431121857e-02,9.589739606951822624e-08,2.823354261365805192e-09,2.823354261365805192e-09
6.951927961775605791e-02,9.593060661801403253e-08,2.856128811322383467e-09,2.856128811322383881e-09
7.032630413380643042e-02,9.596382866776610979e-08,2.889283793036150208e-09,2.889283793036150208e-09
7.114269710955734016e-02,9.599706222275760401e-08,2.922823621075294306e-09,2.922823621075294306e-09
7.196856730011520764e-02,9.603030728697279935e-08,2.956752761172857365e-09,2.956752761172857779e-09
7.280402472308569739e-02,9.606356386439760786e-08,2.991075730816775278e-09,2.991075730816775278e-09
7.364918067322964723e-02,9.609683195901909303e-08,3.025797099846576133e-09,3.025797099846576133e-09
7.450414773728912532e-02,9.613011157482590655e-08,3.060921491056814670e-09,3.060921491056814670e-09
7.536903980898541910e-02,9.616340271580798387e-08,3.096453580807294588e-09,3.096453580807295002e-09
7.624397210419138482e-02,9.619670538595658396e-08,3.132398099640175888e-09,3.132398099640176302e-09
7.712906117627991998e-02,9.623001958926444806e-08,3.168759832904015229e-09,3.168759832904015643e-09
7.802442493165048787e-02,9.626334532972570710e-08,3.205543621384814985e-09,3.205543621384815398e-09
7.893018264543574802e-02,9.629668261133577580e-08,3.242754361944142218e-09,3.242754361944142218e-09
7.984645497739085995e-02,9.633003143809148498e-08,3.280397008164414755e-09,3.280397008164414755e-09
8.077336398796711170e-02,9.636339181399114780e-08,3.318476571001397385e-09,3.318476571001397385e-09
8.171103315457199645e-02,9.639676374303433473e-08,3.356998119443987999e-09,3.356998119443987999e-09
8.265958738801812422e-02,9.643014722922207205e-08,3.395966781181366464e-09,3.395966781181366464e-09
8.361915304916317515e-02,9.646354227655673604e-08,3.435387743277580265e-09,3.435387743277580265e-09
8.458985796574300386e-02,9.649694888904210585e-08,3.475266252853636813e-09,3.475266252853636813e-09
8.557183144940005981e-02,9.653036707068339001e-08,3.515607617777166517e-09,3.515607617777166517e-09
8.656520431290944118e-02,9.656379682548710729e-08,3.556417207359733564e-09,3.556417207359733564e-09
8.757010888760508038e-02,9.659723815746119261e-08,3.597700453061873385e-09,3.597700453061873385e-09
8.858667904100822610e-02,9.663069107061498378e-08,3.639462849205920097e-09,3.639462849205920097e-09
8.961505019466045607e-02,9.666415556895918180e-08,3.681709953696696712e-09,3.681709953696696712e-09
9.065535934216358005e-02,9.669763165650594353e-08,3.724447388750131389e-09,3.724447388750131389e-09
9.170774506742930543e-02,9.673111933726869635e-08,3.767680841629896924e-09,3.767680841629896924e-09
9.277234756314059472e-02,9.676461861526240289e-08,3.811416065392123526e-09,3.811416065392123526e-09
9.384930864942725437e-02,9.679812949450326989e-08,3.855658879638251456e-09,3.855658879638251456e-09
9.493877179275829470e-02,9.683165197900898637e-08,3.900415171276114537e-09,3.900415171276115365e-09
9.604088212505379474e-02,9.686518607279861778e-08,3.945690895289309940e-09,3.945690895289309113e-09
9.715578646301857579e-02,9.689873177989263248e-08,3.991492075514934899e-09,3.991492075514934899e-09
9.828363332770025107e-02,9.693228910431283555e-08,4.037824805429753231e-09,4.037824805429754059e-09
9.942457296427417712e-02,9.696585805008248789e-08,4.084695248944856169e-09,4.084695248944856169e-09
1.005787573620583603e-01,9.699943862122620039e-08,4.132109641208899403e-09,4.132109641208899403e-09
1.017463402747606355e-01,9.703303082177000006e-08,4.180074289419981682e-09,4.180074289419981682e-09
1.029274772409608379e-01,9.706663465574129032e-08,4.228595573646228655e-09,4.228595573646228655e-09
1.041223256048305484e-01,9.710025012716893045e-08,4.277679947655133259e-09,4.277679947655133259e-09
1.053310445370937015e-01,9.713387724008305029e-08,4.327333939751756854e-09,4.327333939751757682e-09
1.065537950562305269e-01,9.716751599851535459e-08,4.377564153625831658e-09,4.377564153625831658e-09
1.077907400499273083e-01,9.720116640649875252e-08,4.428377269207815747e-09,4.428377269207815747e-09
1.090420442967752618e-01,9.723482846806767523e-08,4.479780043533984188e-09,4.479780043533984188e-09
1.103078744882215051e-01,9.726850218725790385e-08,4.531779311620624939e-09,4.531779311620624939e-09
1.115883992507748085e-01,9.730218756810663563e-08,4.584381987347378411e-09,4.584381987347378411e-09
1.128837891684688899e-01,9.733588461465247072e-08,4.637595064349787680e-09,4.637595064349787680e-09
1.141942168055865986e-01,9.736959333093537248e-08,4.691425616921111472e-09,4.691425616921112299e-09
1.155198567296479295e-01,9.740331372099670714e-08,4.745880800923476017e-09,4.745880800923476017e-09
1.168608855346650877e-01,9.743704578887933649e-08,4.800967854708400507e-09,4.800967854708400507e-09
1.182174818646671705e-01,9.747078953862739288e-08,4.856694100046749116e-09,4.856694100046749116e-09
1.195898264374979370e-01,9.750454497428643799e-08,4.913066943068152571e-09,4.913066943068152571e-09
1.209781020688901337e-01,9.753831209990351586e-08,4.970093875209978705e-09,4.970093875209978705e-09
1.223824936968192362e-01,9.757209091952698074e-08,5.027782474175864390e-09,5.027782474175864390e-09
1.238031884061397414e-01,9.760588143720664274e-08,5.086140404903860127e-09,5.086140404903860127e-09
1.252403754535073022e-01,9.763968365699366192e-08,5.145175420544222885e-09,5.145175420544222885e-09
1.266942462925906288e-01,9.767349758294065419e-08,5.204895363446911757e-09,5.204895363446911757e-09
1.281649945995758377e-01,9.770732321910163833e-08,5.265308166158807952e-09,5.265308166158807952e-09
1.296528162989668276e-01,9.774116056953199636e-08,5.326421852430676503e-09,5.326421852430676503e-09
1.311579095896850122e-01,9.777500963828852639e-08,5.388244538233911858e-09,5.388244538233911858e-09
1.326804749714724507e-01,9.780887042942948238e-08,5.450784432787097140e-09,5.450784432787097967e-09
1.342207152716012042e-01,9.784274294701444179e-08,5.514049839592377916e-09,5.514049839592377916e-09
1.357788356718928335e-01,9.787662719510442469e-08,5.578049157481669477e-09,5.578049157481669477e-09
1.373550437360513687e-01,9.791052317776186724e-08,5.642790881672710058e-09,5.642790881672710058e-09
1.389495494373137463e-01,9.794443089905066149e-08,5.708283604834965775e-09,5.708283604834965775e-09
1.405625651864214898e-01,9.797835036303595678e-08,5.774536018165398032e-09,5.774536018165398032e-09
1.421943058599166865e-01,9.801228157378450387e-08,5.841556912474057844e-09,5.841556912474057844e-09
1.438449888287662848e-01,9.804622453536429759e-08,5.909355179279507061e-09,5.909355179279507888e-09
1.455148339873193752e-01,9.808017925184482835e-08,5.977939811914084686e-09,5.977939811914084686e-09
1.472040637826001475e-01,9.811414572729696295e-08,6.047319906638937254e-09,6.047319906638937254e-09
1.489129032439409361e-01,9.814812396579302404e-08,6.117504663768822326e-09,6.117504663768822326e-09
1.506415800129592697e-01,9.818211397140668423e-08,6.188503388806621450e-09,6.188503388806621450e-09
1.523903243738828905e-01,9.821611574821305875e-08,6.260325493587537738e-09,6.260325493587538565e-09
1.541593692842271879e-01,9.825012930028863923e-08,6.332980497432923486e-09,6.332980497432923486e-09
1.559489504058282350e-01,9.828415463171139962e-08,6.406478028313646014e-09,6.406478028313646841e-09
1.577593061362361493e-01,9.831819174656069030e-08,6.480827824022952018e-09,6.480827824022952018e-09
1.595906776404731053e-01,9.835224064891722484e-08,6.556039733358731177e-09,6.556039733358730350e-09
1.614433088831601915e-01,9.838630134286323883e-08,6.632123717315117805e-09,6.632123717315117805e-09
1.633174466610167463e-01,9.842037383248225163e-08,6.709089850283275853e-09,6.709089850283276680e-09
1.652133406357370049e-01,9.845445812185929140e-08,6.786948321261290354e-09,6.786948321261290354e-09
1.671312433672487441e-01,9.848855421508076271e-08,6.865709435073042870e-09,6.865709435073042870e-09
1.690714103473580088e-01,9.852266211623451273e-08,6.945383613595931151e-09,6.945383613595931151e-09
1.710341000337840534e-01,9.855678182940977830e-08,7.025981396997257656e-09,7.025981396997257656e-09
1.730195738845894393e-01,9.859091335869722565e-08,7.107513444979143817e-09,7.107513444979144644e-09
1.750280963930101186e-01,9.862505670818889740e-08,7.189990538031805448e-09,7.189990538031806275e-09
1.770599351226898044e-01,9.865921188197833173e-08,7.273423578694970918e-09,7.273423578694970918e-09
1.791153607433231265e-01,9.869337888416040355e-08,7.357823592827235297e-09,7.357823592827236125e-09
1.811946470667123998e-01,9.872755771883149654e-08,7.443201730883122997e-09,7.443201730883122997e-09
1.832980710832435578e-01,9.876174839008933111e-08,7.529569269197637224e-09,7.529569269197638879e-09
1.854259129987852195e-01,9.879595090203301732e-08,7.616937611278016656e-09,7.616937611278016656e-09
1.875784562720160253e-01,9.883016525876321373e-08,7.705318289102389151e-09,7.705318289102390805e-09
1.897559876521850430e-01,9.886439146438192885e-08,7.794722964425063584e-09,7.794722964425063584e-09
1.919587972173111001e-01,9.889862952299257409e-08,7.885163430088105769e-09,7.885163430088105769e-09
1.941871784128254841e-01,9.893287943869999021e-08,7.976651611338881665e-09,7.976651611338883319e-09
1.964414280906627563e-01,9.896714121561047384e-08,8.069199567153141039e-09,8.069199567153142694e-09
1.987218465488055363e-01,9.900141485783163184e-08,8.162819491563275970e-09,8.162819491563275970e-09
2.010287375712885571e-01,9.903570036947269898e-08,8.257523714991345564e-09,8.257523714991345564e-09
2.033624084686672384e-01,9.906999775464418056e-08,8.353324705586397051e-09,8.353324705586397051e-09
2.057231701189556061e-01,9.910430701745797156e-08,8.450235070565581983e-09,8.450235070565583638e-09
2.081113370090394987e-01,9.913862816202752866e-08,8.548267557558567922e-09,8.548267557558567922e-09
2.105272272765706942e-01,9.917296119246764529e-08,8.647435055954719525e-09,8.647435055954719525e-09
2.129711627523478146e-01,9.920730611289453097e-08,8.747750598252461733e-09,8.747750598252461733e-09
2.154434690031883370e-01,9.924166292742590405e-08,8.849227361410171595e-09,8.849227361410171595e-09
2.179444753752985686e-01,9.927603164018079310e-08,8.951878668197981635e-09,8.951878668197981635e-09
2.204745150381474394e-01,9.931041225527974870e-08,9.055717988549809876e-09,9.055717988549809876e-09
2.230339250288496389e-01,9.934480477684465818e-08,9.160758940914858807e-09,9.160758940914858807e-09
2.256230462970633954e-01,9.937920920899894410e-08,9.267015293607800793e-09,9.267015293607800793e-09
2.282422237504097562e-01,9.941362555586740543e-08,9.374500966156839279e-09,9.374500966156839279e-09
2.308918063004192500e-01,9.944805382157621762e-08,9.483230030648780571e-09,9.483230030648780571e-09
2.335721469090121238e-01,9.948249401025309131e-08,9.593216713070189734e-09,9.593216713070191389e-09
2.362836026355176477e-01,9.951694612602708714e-08,9.704475394643629741e-09,9.704475394643629741e-09
2.390265346842391780e-01,9.955141017302868186e-08,9.817020613157968068e-09,9.817020613157968068e-09
2.418013084525720557e-01,9.958588615538988747e-08,9.930867064291695281e-09,9.930867064291695281e-09
2.446082935796798086e-01,9.962037407724399978e-08,1.004602960292805949e-08,1.004602960292805949e-08
2.474478639957351511e-01,9.965487394272588951e-08,1.016252324446080403e-08,1.016252324446080403e-08
2.503203979717325556e-01,9.968938575597180385e-08,1.028036316608924445e-08,1.028036316608924445e-08
