# k[1/Mpc], P(xi+0.03)/P_LCDM, P(xi-0.03)/P_LCDM
3.637687499051217022e-01,9.631970220672281258e-01,1.036135109135378762e+00
3.742799172236327410e-01,9.630161230775005077e-01,1.036378596955920939e+00
3.850948067239604589e-01,9.629317566277566520e-01,1.036485963048508152e+00
3.962221945163999504e-01,9.627190782110769396e-01,1.036658354484931710e+00
4.076711102986267932e-01,9.624322291608179425e-01,1.036946727494843845e+00
4.194508446831490822e-01,9.622339473689894840e-01,1.037194678731268471e+00
4.315709567364947596e-01,9.620585831399675047e-01,1.037350041007351953e+00
4.440412817362380249e-01,9.619336368348792021e-01,1.037544745179713956e+00
4.568719391521739448e-01,9.617991910204711781e-01,1.037675210625376376e+00
4.700733408581028727e-01,9.616307616034027728e-01,1.037819182645269178e+00
4.836561995809038894e-01,9.614365066656238579e-01,1.038003833830974054e+00
4.976315375937376273e-01,9.612245802974238584e-01,1.038217737701141674e+00
5.120106956604494330e-01,9.610031307545249257e-01,1.038449458943055292e+00
5.268053422384140205e-01,9.607802993061238528e-01,1.038687553457542379e+00
5.420274829473064049e-01,9.605642197730324128e-01,1.038920567025563679e+00
5.576894703114670948e-01,9.603621327973080879e-01,1.039138250192498614e+00
5.738040137837824295e-01,9.601746084086946187e-01,1.039339479590230431e+00
5.903841900591981773e-01,9.599991831446738066e-01,1.039527075609210538e+00
6.074434536862542977e-01,9.598333805194739776e-01,1.039703659513226741e+00
6.249956479852307734e-01,9.596747260991758122e-01,1.039871844808518686e+00
6.430550162817864068e-01,9.595207472857392172e-01,1.040034246948168484e+00
6.616362134651857518e-01,9.593689731647755403e-01,1.040193483153634357e+00
6.807543178805123274e-01,9.592169434322245225e-01,1.040352162633461308e+00
7.004248435645004101e-01,9.590632398783474066e-01,1.040511779903654954e+00
7.206637528349336685e-01,9.589084393292518493e-01,1.040671759688436726e+00
7.414874692438055970e-01,9.587533436758399752e-01,1.040831536913661148e+00
7.629128909047757645e-01,9.585987542919198745e-01,1.040990603681928306e+00
7.849574042057139156e-01,9.584454720350781276e-01,1.041148451786477303e+00
8.076388979174818905e-01,9.582942972542637383e-01,1.041304572715889831e+00
