# a, rho_de(8piGrho), cdm_code(8piGrho_a4), cdm_analytic
5.914660544591748836e-02,1.131191513082684037e-07,2.307069760096783587e-09,2.307069760096783587e-09
5.983321728796288375e-02,1.130799901980370782e-07,2.333852203211554411e-09,2.333852203211554411e-09
6.052779976193348871e-02,1.130408426451259374e-07,2.360945577283924290e-09,2.360945577283924290e-09
6.123044539605183856e-02,1.130017086448415187e-07,2.388353492884955304e-09,2.388353492884955304e-09
6.194124779266756836e-02,1.129625881924920272e-07,2.416079602550390222e-09,2.416079602550390222e-09
6.266030164072655673e-02,1.129234812833872430e-07,2.444127601270185850e-09,2.444127601270185850e-09
6.338770272838487041e-02,1.128843879128385873e-07,2.472501226983849463e-09,2.472501226983849049e-09
6.412354795576917510e-02,1.128453080761590827e-07,2.501204261081637458e-09,2.501204261081637458e-09
6.486793534788511117e-02,1.128062417686634193e-07,2.530240528911694004e-09,2.530240528911694004e-09
6.562096406767560508e-02,1.127671889856678226e-07,2.559613900293204112e-09,2.559613900293204112e-09
6.638273442923081635e-02,1.127281497224902386e-07,2.589328290035643031e-09,2.589328290035643031e-09
6.715334791115142032e-02,1.126891239744502410e-07,2.619387658464191032e-09,2.619387658464191032e-09
6.793290717006698898e-02,1.126501117368689127e-07,2.649796011951393822e-09,2.649796011951393408e-09
6.872151605431121857e-02,1.126111130050690700e-07,2.680557403455148405e-09,2.680557403455148405e-09
6.951927961775605791e-02,1.125721277743750380e-07,2.711675933063097529e-09,2.711675933063097529e-09
7.032630413380643042e-02,1.125331560401128493e-07,2.743155748543513774e-09,2.743155748543513774e-09
7.114269710955734016e-02,1.124941977976101775e-07,2.775001045902755591e-09,2.775001045902755591e-09
7.196856730011520764e-02,1.124552530421961917e-07,2.807216069949369328e-09,2.807216069949369328e-09
7.280402472308569739e-02,1.124163217692018082e-07,2.839805114864948489e-09,2.839805114864948489e-09
7.364918067322964723e-02,1.123774039739594253e-07,2.872772524781815578e-09,2.872772524781815578e-09
7.450414773728912532e-02,1.123384996518032019e-07,2.906122694367624559e-09,2.906122694367624559e-09
7.536903980898541910e-02,1.122996087980687921e-07,2.939860069416963318e-09,2.939860069416963318e-09
7.624397210419138482e-02,1.122607314080935973e-07,2.973989147450067410e-09,2.973989147450067410e-09
7.712906117627991998e-02,1.122218674772164480e-07,3.008514478318727784e-09,3.008514478318727370e-09
7.802442493165048787e-02,1.121830170007780013e-07,3.043440664819480190e-09,3.043440664819480190e-09
7.893018264543574802e-02,1.121441799741203569e-07,3.078772363314177992e-09,3.078772363314177578e-09
7.984645497739085995e-02,1.121053563925872554e-07,3.114514284358059240e-09,3.114514284358059240e-09
8.077336398796711170e-02,1.120665462515241584e-07,3.150671193335393199e-09,3.150671193335392785e-09
8.171103315457199645e-02,1.120277495462780225e-07,3.187247911102805595e-09,3.187247911102805181e-09
8.265958738801812422e-02,1.119889662721974590e-07,3.224249314640397969e-09,3.224249314640397969e-09
8.361915304916317515e-02,1.119501964246326674e-07,3.261680337710763299e-09,3.261680337710763299e-09
8.458985796574300386e-02,1.119114399989355145e-07,3.299545971526001698e-09,3.299545971526001284e-09
8.557183144940005981e-02,1.118726969904593894e-07,3.337851265422845793e-09,3.337851265422845793e-09
8.656520431290944118e-02,1.118339673945594018e-07,3.376601327546006206e-09,3.376601327546006206e-09
8.757010888760508038e-02,1.117952512065921830e-07,3.415801325539858331e-09,3.415801325539857918e-09
8.858667904100822610e-02,1.117565484219159529e-07,3.455456487248581239e-09,3.455456487248581239e-09
8.961505019466045607e-02,1.117178590358905988e-07,3.495572101424864104e-09,3.495572101424864104e-09
9.065535934216358005e-02,1.116791830438776094e-07,3.536153518447292241e-09,3.536153518447292241e-09
9.170774506742930543e-02,1.116405204412400882e-07,3.577206151046564947e-09,3.577206151046564947e-09
9.277234756314059472e-02,1.116018712233427004e-07,3.618735475040640274e-09,3.618735475040639860e-09
